Title,Release Year,Release Month,Release Date,Release Season,Worldwide Gross,Oscar_Win,GG_Win,BAFTA_Win,Total_Awards_Won
Planetarian: Hoshi no Hito,2016,9,2016-09-03,Awards Season,,0,0,0,0
Russian Mom,2016,7,2016-07-28,Summer Blockbuster,,0,0,0,0
The Whole Truth,2016,3,2016-03-25,Spring,,0,0,0,0
Home Invasion,2016,2,2016-02-02,Awards Season,,0,0,0,0
The 9th Life of Louis Drax,2016,9,2016-09-01,Awards Season,,0,0,0,0
Digimon Adventure tri. Part 3: Confession,2016,9,2016-09-24,Awards Season,,0,0,0,0
Bilal: A New Breed of Hero,2016,9,2016-09-08,Awards Season,,0,0,0,0
Other People,2016,9,2016-09-09,Awards Season,,0,0,0,0
Mascots,2016,10,2016-10-11,Awards Season,,0,0,0,0
Life on the Line,2016,11,2016-11-18,Holiday Season,,0,0,0,0
Queen of Katwe,2016,9,2016-09-23,Awards Season,,0,0,0,0
Don't Think Twice,2016,7,2016-07-22,Summer Blockbuster,,0,0,0,0
50 Years of Star Trek,2016,8,2016-08-14,Summer Blockbuster,,0,0,0,0
Viral,2016,2,2016-02-18,Awards Season,,0,0,0,0
Jarhead 3: The Siege,2016,1,2016-01-20,Awards Season,,0,0,0,0
David Brent: Life on the Road,2016,8,2016-08-19,Summer Blockbuster,,0,0,0,0
The Bronze,2016,1,2016-01-22,Awards Season,,0,0,0,0
LEGO Scooby-Doo! Haunted Hollywood,2016,1,2016-01-28,Awards Season,,0,0,0,0
For the Love of Spock,2016,9,2016-09-09,Awards Season,,0,0,0,0
Brother Nature,2016,9,2016-09-09,Awards Season,,0,0,0,0
Mobile Suit Gundam Thunderbolt: December Sky,2016,6,2016-06-25,Summer Blockbuster,,0,0,0,0
Rocco,2016,11,2016-11-30,Holiday Season,,0,0,0,0
Hands of Stone,2016,8,2016-08-26,Summer Blockbuster,,0,0,0,0
The Young Messiah,2016,3,2016-03-10,Spring,,0,0,0,0
Last Days in the Desert,2016,5,2016-05-13,Spring,,0,0,0,0
Term Life,2016,4,2016-04-29,Spring,,0,0,0,0
Confirmation,2016,4,2016-04-16,Spring,,0,0,0,0
Dead Rising: Endgame,2016,6,2016-06-20,Summer Blockbuster,,0,0,0,0
PERSONA5 the Animation - THE DAY BREAKERS -,2016,9,2016-09-03,Awards Season,,0,0,0,0
Suddenly Seventeen,2016,12,2016-12-09,Holiday Season,,0,0,0,0
Misconduct,2016,2,2016-02-05,Awards Season,,0,0,0,0
The Meddler,2016,4,2016-04-05,Spring,,0,0,0,0
Jackie,2016,12,2016-12-02,Holiday Season,29777777.0,1,1,1,3
Mr. Church,2016,9,2016-09-16,Awards Season,,0,0,0,0
A Cinderella Story: If the Shoe Fits,2016,8,2016-08-02,Summer Blockbuster,,0,0,0,0
Christine,2016,10,2016-10-14,Awards Season,,0,0,0,0
I Saw the Light,2016,2,2016-02-05,Awards Season,,0,0,0,0
Tallulah,2016,6,2016-06-02,Summer Blockbuster,,0,0,0,0
I'm Not Ashamed,2016,10,2016-10-21,Awards Season,,0,0,0,0
White Lily,2016,10,2016-10-07,Awards Season,,0,0,0,0
Deadly Pickup,2016,7,2016-07-26,Summer Blockbuster,,0,0,0,0
The Midnight Man,2016,9,2016-09-30,Awards Season,,0,0,0,0
The Hollars,2016,8,2016-08-25,Summer Blockbuster,,0,0,0,0
Girl in the Box,2016,9,2016-09-10,Awards Season,,0,0,0,0
Mobile Suit Gundam: The Origin III - Dawn of Rebellion,2016,5,2016-05-21,Spring,,0,0,0,0
The Masked Saint,2016,1,2016-01-08,Awards Season,,0,0,0,0
Take Down,2016,5,2016-05-05,Spring,,0,0,0,0
Paris Can Wait,2016,9,2016-09-12,Awards Season,,0,0,0,0
Robinson Crusoe,2016,2,2016-02-04,Awards Season,,0,0,0,0
The Thinning,2016,10,2016-10-12,Awards Season,,0,0,0,0
The Beatles: Eight Days a Week - The Touring Years,2016,9,2016-09-15,Awards Season,,0,0,0,0
The Birth of a Nation,2016,9,2016-09-09,Awards Season,,0,0,0,0
The Perfect Match,2016,3,2016-03-11,Spring,,0,0,0,0
Catfight,2016,9,2016-09-09,Awards Season,,0,0,0,0
Stalked by My Mother,2016,9,2016-09-26,Awards Season,,0,0,0,0
Kamen Rider Heisei Generations: Dr. Pac-Man vs. Ex-Aid & Ghost with Legend Riders,2016,12,2016-12-10,Holiday Season,,0,0,0,0
The Warriors Gate,2016,11,2016-11-18,Holiday Season,,0,0,0,0
Anesthesia,2016,1,2016-01-08,Awards Season,,0,0,0,0
Death Note: Light Up the NEW World,2016,10,2016-10-29,Awards Season,,0,0,0,0
Young Mother 4,2016,4,2016-04-28,Spring,,0,0,0,0
Come and Find Me,2016,11,2016-11-11,Holiday Season,,0,0,0,0
Pet,2016,9,2016-09-24,Awards Season,,0,0,0,0
Digimon Adventure tri. Part 2: Determination,2016,3,2016-03-12,Spring,,0,0,0,0
Meet the Blacks,2016,4,2016-04-01,Spring,,0,0,0,0
Dad's Army,2016,2,2016-02-05,Awards Season,,0,0,0,0
RE:BORN,2016,9,2016-09-24,Awards Season,,0,0,0,0
The Siege of Jadotville,2016,9,2016-09-19,Awards Season,,0,0,0,0
Barbie: Spy Squad,2016,1,2016-01-15,Awards Season,,0,0,0,0
Wiener-Dog,2016,6,2016-06-24,Summer Blockbuster,,0,0,0,0
Kickboxer: Vengeance,2016,7,2016-07-14,Summer Blockbuster,,0,0,0,0
The Trust,2016,4,2016-04-29,Spring,,0,0,0,0
Mindhorn,2016,10,2016-10-09,Awards Season,,0,0,0,0
O.J.: Made in America,2016,5,2016-05-20,Spring,,1,0,0,1
The Secret Life of Pets,2016,6,2016-06-18,Summer Blockbuster,875697467.0,0,0,0,0
Batman: Return of the Caped Crusaders,2016,10,2016-10-08,Awards Season,,0,0,0,0
A Dark Song,2016,7,2016-07-08,Summer Blockbuster,,0,0,0,0
My Little Pony: Equestria Girls - Legend of Everfree,2016,10,2016-10-01,Awards Season,,0,0,0,0
High Strung,2016,4,2016-04-08,Spring,,0,0,0,0
Shut In,2016,11,2016-11-11,Holiday Season,,0,0,0,0
Opening Night,2016,6,2016-06-03,Summer Blockbuster,,0,0,0,0
100 Streets,2016,11,2016-11-11,Holiday Season,,0,0,0,0
A Kind of Murder,2016,12,2016-12-16,Holiday Season,,0,0,0,0
The Land Before Time XIV: Journey of the Brave,2016,2,2016-02-02,Awards Season,,0,0,0,0
In a Valley of Violence,2016,10,2016-10-21,Awards Season,,0,0,0,0
Imperium,2016,8,2016-08-19,Summer Blockbuster,,0,0,0,0
"Yo-kai Watch: The Movie - The Great Adventure of the Flying Whale & the Double World, Meow!",2016,12,2016-12-17,Holiday Season,,0,0,0,0
Paterson,2016,11,2016-11-17,Holiday Season,,0,0,0,0
The Swap,2016,10,2016-10-07,Awards Season,,0,0,0,0
